Time Interval,Edge 1,Edge 2,Edge 3,Edge 4,Edge 5,Edge 6,Edge 7,Edge 8,Edge 9,Edge 10,Edge 11,Edge 12,Edge 13,Edge 14,Edge 15,Edge 16,Edge 17,Edge 18,Edge 19
2024-06-04 08:40:00 - 2024-06-04 08:45:00,60,36,46,9,13,0,21,45,34,10,16,10,15,13,6,7,17,5,32
2024-06-04 08:45:00 - 2024-06-04 08:50:00,101,63,48,13,15,0,33,43,33,12,20,15,18,9,8,17,29,9,34
2024-06-04 08:50:00 - 2024-06-04 08:55:00,65,40,47,9,14,0,28,43,39,19,21,15,17,10,2,8,37,4,34
2024-06-04 08:55:00 - 2024-06-04 09:00:00,96,64,45,9,23,0,22,38,33,22,25,13,8,5,3,14,26,6,28
2024-06-04 09:00:00 - 2024-06-04 09:05:00,73,45,38,11,18,0,27,36,29,13,15,11,23,9,2,12,26,5,40
2024-06-04 09:05:00 - 2024-06-04 09:10:00,77,51,30,7,23,0,26,33,25,22,26,11,18,14,4,13,23,6,29
2024-06-04 09:10:00 - 2024-06-04 09:15:00,52,36,34,3,17,0,30,33,27,13,19,16,11,9,6,10,25,6,36
2024-06-04 09:15:00 - 2024-06-04 09:20:00,51,33,26,6,9,0,27,30,23,10,21,9,17,14,11,14,23,9,36
2024-06-04 09:20:00 - 2024-06-04 09:25:00,61,41,20,6,19,0,22,24,32,15,21,8,23,11,6,13,21,7,31
2024-06-04 09:25:00 - 2024-06-04 09:30:00,77,50,38,9,20,0,29,37,26,14,26,14,17,11,12,17,26,10,35
2024-06-04 09:30:00 - 2024-06-04 09:35:00,58,36,32,9,14,0,16,37,27,22,28,11,21,17,6,14,34,7,28
2024-06-04 09:35:00 - 2024-06-04 09:40:00,82,51,27,12,23,0,22,33,32,19,26,13,11,16,7,8,30,5,37
2024-06-04 09:40:00 - 2024-06-04 09:45:00,64,37,38,12,11,0,27,41,34,13,19,13,17,16,6,10,30,6,40
2024-06-04 09:45:00 - 2024-06-04 09:50:00,78,48,39,11,8,0,21,36,35,16,23,9,20,8,7,15,29,8,38
2024-06-04 09:50:00 - 2024-06-04 09:55:00,60,37,27,9,8,0,17,31,39,9,21,15,17,14,12,12,42,8,42
2024-06-04 09:55:00 - 2024-06-04 10:00:00,65,45,30,5,23,0,23,28,30,15,25,9,20,7,10,14,28,8,51
2024-06-04 10:00:00 - 2024-06-04 10:05:00,63,43,23,5,12,0,20,27,37,16,21,19,10,12,5,9,27,5,38
2024-06-04 10:05:00 - 2024-06-04 10:10:00,63,45,21,3,14,0,22,24,41,9,14,12,18,10,5,10,37,5,40
2024-06-04 10:10:00 - 2024-06-04 10:15:00,56,38,21,5,12,0,26,23,39,12,20,9,11,9,8,10,39,6,41
